username, groupname, learnername

jasonblankenberg02@gmail.com,Group A,Michael Jackson
jasonblankenberg02@gmail.com,Group A,Bob Ross
jasonblankenberg02@gmail.com,Group A,Bill Gates
jasonblankenberg02@gmail.com,Group A,Sam Winchester
jasonblankenberg02@gmail.com,Group A,Dean Winchester
jasonblankenberg02@gmail.com,Group B,Naruto Uzumaki
jasonblankenberg02@gmail.com,Group B,Keanu Reeves
jasonblankenberg02@gmail.com,Group B,Roman Reigns
jasonblankenberg02@gmail.com,Group B,Rukia Kuchiki
jasonblankenberg02@gmail.com,Group B,Ichigo
