username, groupname, learnername, Mathematics, English, Afrikaans, Geography, Biology
jasonblankenberg02@gmail.com,Group A,Michael Jackson,70,67,87,67,56
jasonblankenberg02@gmail.com,Group A,Bob Ross,71,99,70,89,49
jasonblankenberg02@gmail.com,Group A,Bill Gates,100,100,70,70,81
jasonblankenberg02@gmail.com,Group A,Sam Winchester,100,88,50,90,80
jasonblankenberg02@gmail.com,Group A,Dean Winchester,100,99,50,90,65
jasonblankenberg02@gmail.com,Group B,Naruto Uzumaki,45,75,75,70,70
jasonblankenberg02@gmail.com,Group B,Keanu Reeves,99,99,99,99,99
jasonblankenberg02@gmail.com,Group B,Roman Reigns,89,89,89,89,89
jasonblankenberg02@gmail.com,Group B,Rukia Kuchiki,100,100,100,100,89
jasonblankenberg02@gmail.com,Group B,Ichigo,98,90,87,87,76
